,CDS_CODE,Year,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function_Accounts Receivable                                                                                                                                                                                                                                       ,Function_Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,Function_Books and Other Reference Materials                                                                                                                                                                                                                       ,Function_Classified Instructional Salaries                                                                                                                                                                                                                         ,Function_Classified Support Salaries                                                                                                                                                                                                                               ,Function_Communications                                                                                                                                                                                                                                            ,Function_Insurance                                                                                                                                                                                                                                                 ,Function_Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,Function_Subagreements for Services                                                                                                                                                                                                                                ,Function_Transfers of Indirect Costs                                                                                                                                                                                                                               ,Function_Transfers of Indirect Costs - Interfund                                                                                                                                                                                                                   ,Function_Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,Amount_<500k,Amount_500k-1500k,Amount_1500k-3000k,Amount_3000k-10000k,Amount_>10000k,principal component 1,principal component 2,principal component 3,Cluster
0,10623,1213,5,64,496,1,0,62380,7110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,-3.565929548108398,0.557985099505962,1.4223965443750037,2
1,10623,1314,20,193,754,33,0,311900,35550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,-2.1519582406915756,-0.3001453975673931,1.4869083338376976,2
2,10623,1415,20,288,872,73,0,311900,35550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,-2.0685323701752867,-0.27583569932660956,1.479803491211094,2
3,10623,1516,24,309,876,140,34,374280,25200,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-1.8087092993560694,0.6939409428110557,1.046925484916809,2
4,10623,1516,24,309,876,140,34,374280,42660,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,-1.3331398771967076,-0.7143351549098225,1.1300335581173522,2
5,10624,1213,24,421,6419,386,140,312150,46000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,-0.6020561069071673,-1.6415044306631064,-0.1411708755992154,0
6,10624,1213,24,421,6419,386,140,312150,20500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,-0.9723762548352992,0.5611807215099233,1.1270750593048453,2
7,10624,1213,24,421,6419,386,140,312150,10500,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-1.001197100793907,1.8101500511815676,-1.0762412224902784,1
8,10624,1213,24,421,6419,386,140,312150,40550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.3805517207836965,-0.670312575407277,-2.138080604144174,0
9,10624,1213,24,421,6419,386,140,312150,35550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,-1.3609441234009452,-0.13839307606718199,1.6939657292356054,2
10,10624,1314,34,471,6466,405,139,437010,64400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.31841888980736505,-2.0656155343126175,-0.48933271807467976,0
11,10624,1314,34,471,6466,405,139,437010,28700,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,-0.232915924778579,0.27253958803687967,1.1374998471982025,2
12,10624,1314,34,471,6466,405,139,437010,14700,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.017534652343637252,1.952493328221723,-2.195190844283885,1
13,10624,1314,34,471,6466,405,139,437010,56770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.44148852819220585,-1.1732592872478307,-2.125689542358548,0
14,10624,1314,34,471,6466,405,139,437010,49770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,-0.25383897521733656,-0.8304860131768269,1.346054182798438,2
15,10624,1415,28,427,6429,398,137,437010,64400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.07442256791517966,-2.0195821440478547,-0.5066655026490942,0
16,10624,1415,28,427,6429,398,137,437010,28700,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.40092440956103903,0.4556612250015607,0.7590796849106864,2
17,10624,1415,28,427,6429,398,137,437010,14700,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.22646166954854802,1.9985267184864872,-2.2125236288582997,1
18,10624,1415,28,427,6429,398,137,437010,56770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.19749220630002043,-1.127225896983067,-2.1430223269329627,0
19,10624,1415,28,427,6429,398,137,437010,49770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,-0.49783529710952196,-0.7844526229120633,1.3287213982240234,2
20,10624,1516,33,452,6532,399,172,437010,64400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0.3308256044079002,-2.0394175899869675,-0.5299415595400916,0
21,10624,1516,33,452,6532,399,172,437010,28700,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.1445213730683184,0.4358257790624472,0.7358036280196888,2
22,10624,1516,33,452,6532,399,172,437010,14700,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.029941366944172456,1.9786912725473744,-2.235799685749297,1
23,10624,1516,33,452,6532,399,172,437010,56770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.4538952427927412,-1.1470613429221799,-2.166298383823959,0
24,10624,1516,33,452,6532,399,172,437010,49770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,-0.24143226061680131,-0.8042880688511768,1.305445341333025,2
25,11001,1213,37,304,3175,255,122,90153,82800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0.010173392495188609,-2.3464573741796597,-1.8201722551806236,0
26,11001,1213,37,304,3175,255,122,90153,18900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.7573830815567333,1.7269964452091515,-2.4011180895132505,1
27,11001,1213,37,304,3175,255,122,90153,53100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.5010885666504816,-0.5376582290157307,-0.819971634196969,0
28,11001,1213,37,304,3175,255,122,90153,72990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-1.087016349385564,-1.6439599817434536,-0.36673776929461915,0
29,11001,1213,37,304,3175,255,122,90153,63990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,-0.7503338870002008,-1.6183166733853964,1.0299448626831724,0
30,11001,1314,37,222,2962,243,97,90153,82800,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.37186645497581505,-2.6879625761654427,-0.7350643617783498,0
31,11001,1314,37,222,2962,243,97,90153,18900,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.818964513967271,1.7095900784909253,-2.4444039205648895,1
32,11001,1314,37,222,2962,243,97,90153,53100,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.8831284141214856,-0.8791634310015151,0.26513625920530376,0
33,11001,1314,37,222,2962,243,97,90153,63990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,-0.8119153194107385,-1.6357230401036218,0.9866590316315341,0
34,11001,1415,37,397,2870,333,129,80136,73600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,-0.3922435233279125,-2.5304519178276736,-0.3688106631974745,0
35,11001,1415,37,397,2870,333,129,80136,16800,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.690246834445779,1.8144670874675979,-2.4374968834084476,1
36,11001,1415,37,397,2870,333,129,80136,47200,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.47307996192018703,-0.3486462902739241,-0.857282079063565,0
37,11001,1415,37,397,2870,333,129,80136,43200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-1.0318452837268814,0.03382088280906939,1.4934441436308634,2
38,11001,1415,37,397,2870,333,129,80136,56880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,-0.7347843473437481,-1.3969718481317832,0.9923377605335783,0
39,11001,1516,37,262,1654,221,81,80136,73600,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.19640220190246238,-2.128373974585987,-1.9411898695873597,0
40,11001,1516,37,262,1654,221,81,80136,16800,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,-0.8908517651905203,1.7553579487418103,-2.5203949876313203,1
41,11001,1516,37,262,1654,221,81,80136,47200,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.9941433077253943,-0.731854264267271,0.18821354116747305,2
42,11001,1516,37,262,1654,221,81,80136,43200,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,-1.2324502144716227,-0.02528825591671879,1.4105460394079905,2
43,11001,1516,37,262,1654,221,81,80136,56880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,-0.9353892780884892,-1.4560809868575715,0.909439656310706,0
44,12628,1213,28,253,1060,234,65,439670,64400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,-0.4022821252783541,-2.1715839334263234,-0.6028579901226064,0
