Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
5761988.84,1100170000000,5761.98884,Alameda County Office of Education,10017,35,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,2,1,1,1213
2126900.99,1100170000000,2126.90099,Alameda County Office of Education,10017,35,0,Communications,Communications,5900,3,2,1,1,1213
248316.29,1100170000000,248.31629,Alameda County Office of Education,10017,35,0,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,3,2,1,1,1213
2607.78,1100170000000,2.60778,Alameda County Office of Education,10017,35,0,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,3,2,1,1,1213
1138122.98,1100170000000,1138.12298,Alameda County Office of Education,10017,35,0,Accounts Receivable,Accounts Receivable,9200,3,2,1,1,1213
5761988.84,1100170000000,5761.98884,Alameda County Office of Education,10017,24,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,2,1,1,1213
2126900.99,1100170000000,2126.90099,Alameda County Office of Education,10017,24,1,Communications,Communications,5900,1,2,1,1,1213
248316.29,1100170000000,248.31629,Alameda County Office of Education,10017,24,1,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,2,1,1,1213
2607.78,1100170000000,2.60778,Alameda County Office of Education,10017,24,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,2,1,1,1213
1138122.98,1100170000000,1138.12298,Alameda County Office of Education,10017,24,1,Accounts Receivable,Accounts Receivable,9200,1,2,1,1,1213
5761988.84,1100170000000,5761.98884,Alameda County Office of Education,10017,369,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,15,13,1,11,1213
2126900.99,1100170000000,2126.90099,Alameda County Office of Education,10017,369,2,Communications,Communications,5900,15,13,1,11,1213
248316.29,1100170000000,248.31629,Alameda County Office of Education,10017,369,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,15,13,1,11,1213
2607.78,1100170000000,2.60778,Alameda County Office of Education,10017,369,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,15,13,1,11,1213
1138122.98,1100170000000,1138.12298,Alameda County Office of Education,10017,369,2,Accounts Receivable,Accounts Receivable,9200,15,13,1,11,1213
5761988.84,1100170000000,5761.98884,Alameda County Office of Education,10017,44,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,5,1,1,1213
2126900.99,1100170000000,2126.90099,Alameda County Office of Education,10017,44,3,Communications,Communications,5900,3,5,1,1,1213
248316.29,1100170000000,248.31629,Alameda County Office of Education,10017,44,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,3,5,1,1,1213
2607.78,1100170000000,2.60778,Alameda County Office of Education,10017,44,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,3,5,1,1,1213
1138122.98,1100170000000,1138.12298,Alameda County Office of Education,10017,44,3,Accounts Receivable,Accounts Receivable,9200,3,5,1,1,1213
5761988.84,1100170000000,5761.98884,Alameda County Office of Education,10017,54,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,7,1,1,1,1213
2126900.99,1100170000000,2126.90099,Alameda County Office of Education,10017,54,4,Communications,Communications,5900,7,1,1,1,1213
248316.29,1100170000000,248.31629,Alameda County Office of Education,10017,54,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,7,1,1,1,1213
2607.78,1100170000000,2.60778,Alameda County Office of Education,10017,54,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,7,1,1,1,1213
1138122.98,1100170000000,1138.12298,Alameda County Office of Education,10017,54,4,Accounts Receivable,Accounts Receivable,9200,7,1,1,1,1213
