CDS_CODE,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Amount
1100170000000,304,3175,255,122,238749230.31999996
1611190000000,953,5621,827,426,347105444.52
1611270000000,308,1211,303,121,211490329.09999996
1611430000000,881,3724,786,383,914383656.9399995
1611500000000,784,3148,741,406,397007280.3400001
1611680000000,48,225,36,11,308795599.81000006
1611760000000,2469,10249,2315,1429,1159175062.380001
1611920000000,1515,6965,1245,574,753512307.1999999
1612000000000,1115,4171,1048,555,405075505.4900001
1612340000000,543,2115,478,124,347683937.2399999
1612420000000,1244,4360,960,476,394828778.2200001
1612590000000,2911,23604,2333,1197,2203154453.2400007
1612750000000,205,816,206,183,147738847.96000004
1612910000000,724,2821,585,175,432320951.8599999
1613090000000,1045,4623,922,354,579229811.9200002
1750930000000,435,4220,412,261,735964011.3399999
1751010000000,1302,5020,1221,846,536102699.50000006
2100250000000,0,2,1,0,7475267.14
2613330000000,0,2,1,0,27559859.780000016
3100330000000,27,300,9,0,34292149.900000006
3739810000000,351,1356,293,67,90326582.89999998
4100410000000,137,1003,115,11,243054166.69999996
4614080000000,41,164,37,6,21671567.619999997
4614240000000,1210,5055,1095,439,547488406.7400001
4614320000000,91,326,88,25,30486059.72
4614400000000,16,46,18,0,3274723.0600000005
4614570000000,6,45,2,0,9419280.299999995
4615150000000,607,2452,526,79,106259816.35999997
4615310000000,349,1495,297,65,122879170.85999997
4755070000000,174,711,156,42,79254148.82000001
5100580000000,69,493,74,0,48921309.36000001
5615560000000,197,754,199,69,47887334.15999999
5615640000000,268,1135,248,62,143360191.32
6100660000000,1,28,2,0,68588029.89999999
6615980000000,113,450,84,24,35139170.02
6616060000000,30,114,27,4,12050320.900000004
6616140000000,91,389,92,24,46750539.56
6616220000000,99,852,78,24,38117660.379999995
7100740000000,492,3173,416,374,207872560.37000012
7616300000000,1392,5349,1373,1009,373468978.96000004
7616480000000,1670,9901,1235,390,577954481.3800001
7616970000000,135,541,117,24,128231186.62
7617210000000,2026,7704,1688,648,253387184.29999998
7617390000000,382,1416,342,141,243969223.44000006
7617540000000,2251,9420,1960,587,1880112397.86
7617880000000,627,4475,561,147,574672388.7199997
7617960000000,2146,8944,1727,684,1746696567.1000004
7618040000000,2264,15477,2253,1514,2882041961.1000004
8100820000000,105,602,68,1,22386808.580000002
8618200000000,281,1058,233,44,120115077.4
9100900000000,142,865,140,6,336238177.3999998
9618530000000,1711,6873,1621,803,323832015.50000006
9619030000000,294,1513,257,89,188597220.3799999
9737830000000,132,817,127,27,59027033.09999998
10623800000000,89,580,1,0,15528937.919999994
10624300000000,422,6453,386,140,216396779.56
12628100000000,253,1075,234,65,44997229.98000002
12630400000000,64,736,55,0,74205197.68000002
14101400000000,471,1657,450,0,68277212.06000003
17640300000000,118,1536,104,36,41995311.220000006
19646000000000,298,2667,289,65,43067348.92000001
19647900000000,478,5936,415,178,202722025.96000004
19648400000000,1747,19770,1508,512,992566707.4400004
19649800000000,1042,11417,955,645,1217150728.56
19650600000000,2242,24324,2160,1128,1160529360.5999994
19734600000000,1584,14661,1578,415,496816366.7800003
20755800000000,176,1967,158,95,74722210.67999996
23655400000000,47,556,42,20,36910342.599999994
24657300000000,125,513,113,25,20263199.740000002
27751500000000,4,77,2,2,3765829.700000001
27754400000000,348,4708,272,64,169620804.30000004
28102800000000,35,137,43,0,126303719.95999995
28662900000000,120,1295,114,52,250484565.27000004
30666700000000,4099,57410,3684,1495,2394718843.8199997
30736500000000,2291,29072,2149,1391,1501940650.4599998
33103300000000,911,7864,500,41,1166816832.0600004
33670900000000,1601,19577,1226,376,542527661.8400002
33752000000000,1962,22929,1870,873,588512332.7000002
34673300000000,1402,19117,1282,590,619452366.24
36677100000000,3461,40374,2943,744,1847855113.7199996
36678500000000,2142,26596,1770,0,849389378.2600001
36738900000000,103,2395,100,19,138110547.02
37681300000000,6260,22965,4698,2165,1081254804.3199997
39686500000000,231,3238,218,84,145019729.64999995
40687000000000,402,4784,404,153,224125119.09999993
41688900000000,235,3324,204,113,187158030.78000003
41689400000000,25,343,24,10,29921633.579999987
41690700000000,725,9265,647,257,640485433.8600003
42692600000000,117,5087,117,21,156033820.36000004
42693100000000,1913,7636,1619,413,379987325.6399999
42750100000000,11,240,9,1,12465673.619999995
45701100000000,14,3386,17,7,102668832.68000002
47104700000000,44,435,33,0,95152613.79999995
47702500000000,22,87,21,21,11600438.419999996
48705400000000,1642,21400,1373,483,881043746.8800004
49707300000000,60,716,68,0,33923081.26000001
49708700000000,15,1491,15,0,61915936.859999985
49753900000000,185,1813,170,52,151856914.12
52105200000000,7,184,3,0,96939067.24000004
54718600000000,300,4128,228,89,142282752.81999993
54721400000000,150,484,16,0,5032333.18
56724700000000,36,1387,36,0,22498164.860000003
56725200000000,242,2879,210,67,65094432.36
56739400000000,668,6984,574,278,227482262.7999999
57727100000000,779,10126,661,275,315557015.7
