CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,0,2,35,2,0
1100170000000,1,2,24,1,1
1100170000000,2,13,369,13,5
1100170000000,3,5,44,1,0
1100170000000,4,1,54,6,3
1100170000000,5,116,916,98,44
1100170000000,6,102,707,67,33
1100170000000,7,51,898,50,10
1100170000000,9,12,128,5,1
1316170000000,2,2,26,5,0
1316170000000,5,22,179,15,0
1316170000000,6,4,35,3,0
1316170000000,7,19,137,12,0
1316170000000,9,1,10,1,0
1611190000000,1,3,21,1,0
1611190000000,2,325,1506,301,208
1611190000000,3,7,69,12,1
1611190000000,4,84,479,85,31
1611190000000,5,144,952,118,52
1611190000000,6,114,862,74,21
1611190000000,7,264,1480,203,112
1611190000000,9,11,223,12,6
1611270000000,1,2,4,1,0
1611270000000,2,108,388,95,50
1611270000000,3,1,3,1,0
1611270000000,4,3,15,2,0
1611270000000,5,47,218,50,12
1611270000000,6,22,78,17,6
1611270000000,7,96,389,86,34
1611270000000,9,29,116,29,5
1611430000000,0,13,62,1,0
1611430000000,1,1,11,3,1
1611430000000,2,87,294,75,46
1611430000000,3,1,8,1,0
1611430000000,4,6,24,4,3
1611430000000,5,178,948,145,55
1611430000000,6,227,845,170,38
1611430000000,7,296,1212,280,203
1611430000000,9,72,320,81,54
1611500000000,0,7,23,5,1
1611500000000,1,2,9,2,0
1611500000000,2,171,727,188,152
1611500000000,3,4,18,4,1
1611500000000,4,27,88,28,15
1611500000000,5,186,736,189,62
1611500000000,6,54,241,59,24
1611500000000,7,255,1001,246,125
1611500000000,9,78,305,68,38
1611680000000,2,7,23,7,0
1611680000000,5,10,49,14,0
1611680000000,6,29,139,23,2
1611680000000,7,1,12,3,0
1611760000000,0,1,5,1,1
1611760000000,1,13,50,11,5
1611760000000,2,1243,5121,1234,1037
1611760000000,3,20,75,10,5
1611760000000,4,145,646,169,96
1611760000000,5,376,1609,351,113
1611760000000,6,96,457,88,35
1611760000000,7,526,2090,512,265
1611760000000,9,49,196,32,19
1611920000000,1,11,41,9,3
1611920000000,2,123,623,117,72
1611920000000,3,85,288,75,33
1611920000000,4,121,587,127,71
1611920000000,5,767,3605,615,266
1611920000000,6,244,1042,159,55
1611920000000,7,135,585,95,48
1611920000000,9,28,165,18,10
1612000000000,0,1,6,2,2
1612000000000,1,7,21,4,2
1612000000000,2,58,215,50,35
1612000000000,3,4,13,2,0
1612000000000,4,28,120,29,20
1612000000000,5,257,1052,199,64
1612000000000,6,13,71,17,7
1612000000000,7,682,2390,584,319
1612000000000,9,65,283,80,44
1612340000000,2,56,241,49,23
1612340000000,3,11,47,9,5
1612340000000,4,46,211,57,27
1612340000000,5,252,984,196,42
1612340000000,6,32,157,38,9
1612340000000,7,109,396,82,29
1612340000000,9,34,69,15,4
1612420000000,1,2,5,2,0
1612420000000,2,258,904,238,174
1612420000000,3,40,169,45,22
1612420000000,4,234,912,228,161
1612420000000,5,444,1476,274,97
1612420000000,6,127,409,89,47
1612420000000,7,118,355,55,32
1612420000000,9,21,129,20,11
1612590000000,0,25,271,25,16
1612590000000,1,14,78,11,4
1612590000000,2,541,2720,391,256
1612590000000,3,35,263,34,8
1612590000000,4,30,162,20,10
1612590000000,5,1065,11631,828,445
1612590000000,6,1005,6953,671,182
1612590000000,7,170,1191,177,143
1612590000000,9,26,335,25,16
1612600000000,2,2,3579,1,0
1612600000000,5,24,7833,7,0
1612600000000,6,35,6553,7,0
1612600000000,7,5,3106,2,0
1612750000000,1,0,1,1,1
1612750000000,2,38,147,40,39
1612750000000,3,0,1,1,1
1612750000000,4,2,13,4,2
1612750000000,5,10,28,7,5
1612750000000,6,5,22,6,5
1612750000000,7,141,583,127,107
1612750000000,9,9,21,5,5
1612910000000,1,5,12,2,0
1612910000000,2,116,414,112,74
1612910000000,3,14,45,9,3
1612910000000,4,63,256,59,32
1612910000000,5,281,1194,242,69
1612910000000,6,161,564,132,33
1612910000000,7,78,298,72,24
1612910000000,9,6,36,10,4
1613090000000,0,1,13,2,1
1613090000000,1,6,18,4,2
