CDS_CODE,ETHNIC,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,0,35,3,1
1100170000000,1,24,1,1
1100170000000,2,369,15,11
1100170000000,3,44,3,1
1100170000000,4,54,7,1
1100170000000,5,916,93,41
1100170000000,6,707,77,45
1100170000000,7,898,50,18
1100170000000,9,128,6,3
1316170000000,2,26,1,0
1316170000000,4,14,1,0
1316170000000,5,179,16,0
1316170000000,6,35,1,0
1316170000000,7,137,13,0
1611190000000,1,21,3,2
1611190000000,2,1506,301,196
1611190000000,3,69,5,2
1611190000000,4,479,77,30
1611190000000,5,952,112,42
1611190000000,6,862,82,15
1611190000000,7,1480,239,135
1611190000000,9,223,8,4
1611270000000,2,388,107,57
1611270000000,3,3,1,0
1611270000000,4,15,3,1
1611270000000,5,218,46,7
1611270000000,6,78,19,6
1611270000000,7,389,98,37
1611270000000,9,116,29,13
1611430000000,2,294,82,41
1611430000000,4,24,8,1
1611430000000,5,948,161,57
1611430000000,6,845,190,35
1611430000000,7,1212,286,213
1611430000000,9,320,59,36
1611500000000,0,23,3,2
1611500000000,1,9,2,1
1611500000000,2,727,167,132
1611500000000,3,18,3,2
1611500000000,4,88,28,18
1611500000000,5,736,170,67
1611500000000,6,241,50,15
1611500000000,7,1001,240,129
1611500000000,9,305,78,40
1611680000000,2,23,7,3
1611680000000,5,49,7,4
1611680000000,6,139,21,3
1611680000000,9,1,1,1
1611760000000,1,50,10,3
1611760000000,2,5121,1201,968
1611760000000,3,75,19,9
1611760000000,4,646,134,62
1611760000000,5,1609,337,100
1611760000000,6,457,77,17
1611760000000,7,2090,492,248
1611760000000,9,196,45,22
1611920000000,1,41,9,4
1611920000000,2,623,106,76
1611920000000,3,288,74,35
1611920000000,4,587,113,73
1611920000000,5,3605,617,258
1611920000000,6,1042,195,57
1611920000000,7,585,108,58
1611920000000,9,165,23,13
1612000000000,0,6,1,0
1612000000000,1,21,7,4
1612000000000,2,215,54,36
1612000000000,3,13,4,2
1612000000000,4,120,27,18
1612000000000,5,1052,217,79
1612000000000,6,71,14,5
1612000000000,7,2390,663,376
1612000000000,9,283,61,35
1612340000000,0,4,1,0
1612340000000,1,6,2,1
1612340000000,2,241,54,25
1612340000000,3,47,9,1
1612340000000,4,211,44,21
1612340000000,5,984,212,35
1612340000000,6,157,23,4
1612340000000,7,396,102,27
1612340000000,9,69,31,10
1612420000000,1,5,2,1
1612420000000,2,904,225,155
1612420000000,3,169,30,20
1612420000000,4,912,206,111
1612420000000,5,1476,297,101
1612420000000,6,409,84,31
1612420000000,7,355,97,47
1612420000000,9,129,19,10
1612590000000,0,271,13,10
1612590000000,1,78,7,1
1612590000000,2,2720,440,278
1612590000000,3,263,28,11
1612590000000,4,162,28,17
1612590000000,5,11631,896,506
1612590000000,6,6953,746,250
1612590000000,7,1191,150,110
1612590000000,9,335,25,14
1612600000000,0,545,1,0
1612600000000,2,3579,1,0
1612600000000,5,7833,9,1
1612600000000,6,6553,14,1
1612600000000,7,3106,5,1
1612600000000,9,736,1,1
1612750000000,2,147,39,36
1612750000000,4,13,2,1
1612750000000,5,28,10,7
1612750000000,6,22,5,2
1612750000000,7,583,141,129
1612750000000,9,21,9,8
1612910000000,0,2,1,0
1612910000000,1,12,4,0
1612910000000,2,414,102,60
1612910000000,3,45,11,3
1612910000000,4,256,59,26
1612910000000,5,1194,212,38
1612910000000,6,564,132,32
1612910000000,7,298,59,15
1612910000000,9,36,5,1
1613090000000,1,18,5,1
1613090000000,2,705,140,103
1613090000000,3,76,20,7
1613090000000,4,355,97,54
1613090000000,5,2215,410,120
1613090000000,6,656,132,30
1613090000000,7,544,115,36
1613090000000,9,41,3,3
1750930000000,1,15,1,1
1750930000000,2,1645,84,77
1750930000000,3,21,1,0
1750930000000,4,349,28,20
1750930000000,5,501,55,23
1750930000000,6,267,35,19
1750930000000,7,1354,196,113
1750930000000,9,63,12,8
1751010000000,1,41,9,7
1751010000000,2,1389,333,277
1751010000000,3,25,5,2
1751010000000,4,132,34,27
1751010000000,5,465,113,52
1751010000000,6,109,21,8
1751010000000,7,2763,691,467
1751010000000,9,96,15,6
2100250000000,1,2,1,0
2613330000000,1,2,1,0
3100330000000,2,1,1,0
3100330000000,5,72,2,0
3100330000000,7,190,6,0
3739810000000,0,28,1,0
3739810000000,1,39,3,1
3739810000000,3,3,1,0
3739810000000,4,11,4,2
3739810000000,5,215,55,8
3739810000000,6,6,2,0
3739810000000,7,990,219,53
3739810000000,9,57,8,3
4100410000000,1,55,4,0
4100410000000,2,15,2,0
4100410000000,4,2,1,0
4100410000000,5,217,13,0
4100410000000,6,11,1,0
4100410000000,7,669,91,11
4100410000000,9,28,3,0
4614080000000,1,4,1,0
4614080000000,2,1,1,1
4614080000000,5,66,13,2
4614080000000,7,90,21,3
4614080000000,9,2,1,0
4614240000000,0,23,1,0
4614240000000,1,86,16,6
4614240000000,2,295,86,40
4614240000000,3,16,7,3
4614240000000,4,34,8,7
4614240000000,5,945,187,51
4614240000000,6,156,27,4
4614240000000,7,3428,753,326
4614240000000,9,72,10,2
4614320000000,2,2,1,0
4614320000000,5,76,19,4
4614320000000,6,2,1,0
4614320000000,7,237,66,20
4614320000000,9,5,1,1
4614400000000,1,20,5,0
4614400000000,5,11,5,0
4614400000000,7,11,6,0
4614400000000,9,4,2,0
4614570000000,7,38,2,0
4615150000000,1,86,15,0
4615150000000,2,435,118,37
4615150000000,3,4,1,1
4615150000000,4,3,2,1
4615150000000,5,510,88,11
4615150000000,6,50,11,0
4615150000000,7,1136,248,26
4615150000000,9,228,43,3
4615310000000,1,20,3,0
4615310000000,2,10,2,1
4615310000000,5,150,24,6
4615310000000,6,15,1,0
4615310000000,7,1205,255,55
4615310000000,9,84,12,3
4615320000000,7,2130,10,0
4615320000000,9,228,1,0
4755070000000,0,40,6,0
4755070000000,2,22,6,3
4755070000000,5,382,84,23
4755070000000,6,5,2,0
4755070000000,7,259,57,15
4755070000000,9,2,1,1
5100580000000,1,10,2,0
5100580000000,3,3,1,0
5100580000000,5,70,9,0
5100580000000,7,370,53,0
5100580000000,9,37,8,0
5100590000000,5,15,2,0
5100590000000,6,3,2,0
5100590000000,7,74,5,0
5615560000000,1,14,2,0
5615560000000,2,8,5,2
5615560000000,5,117,36,10
5615560000000,6,4,2,0
5615560000000,7,560,144,52
5615560000000,9,50,10,5
5615640000000,1,20,3,0
5615640000000,2,9,3,2
5615640000000,4,9,1,1
5615640000000,5,140,19,5
5615640000000,6,19,4,2
5615640000000,7,926,214,52
5615640000000,9,10,4,0
6100660000000,5,24,1,0
6100660000000,7,3,1,0
6615980000000,1,11,1,0
6615980000000,3,2,1,0
6615980000000,5,265,47,11
6615980000000,6,6,2,0
6615980000000,7,165,33,13
6616060000000,1,3,1,0
6616060000000,5,51,10,2
6616060000000,7,58,16,2
6616140000000,1,6,3,0
6616140000000,2,1,2,0
6616140000000,5,273,56,15
6616140000000,6,8,4,0
6616140000000,7,96,26,9
6616220000000,1,6,1,0
6616220000000,2,16,3,3
6616220000000,5,754,66,17
6616220000000,7,69,8,4
7100740000000,2,171,26,24
7100740000000,3,26,4,4
7100740000000,4,108,15,15
7100740000000,5,1110,78,60
7100740000000,6,380,27,13
7100740000000,7,1258,261,253
7100740000000,9,45,5,5
7616300000000,0,76,1,1
7616300000000,1,6,1,1
7616300000000,2,647,167,138
7616300000000,3,14,5,2
7616300000000,4,88,20,13
7616300000000,5,411,111,55
7616300000000,6,72,13,9
7616300000000,7,3682,965,738
7616300000000,9,353,90,52
7616480000000,0,11,2,1
7616480000000,1,77,12,5
7616480000000,2,567,72,43
7616480000000,3,92,11,0
7616480000000,4,539,64,30
7616480000000,5,3234,425,123
7616480000000,6,2687,280,40
7616480000000,7,2162,308,127
7616480000000,9,532,61,21
7616970000000,2,53,16,8
7616970000000,4,51,10,5
7616970000000,5,170,29,5
7616970000000,6,91,21,0
7616970000000,7,131,34,4
7616970000000,9,40,7,2
7617210000000,0,4,2,0
7617210000000,1,48,11,2
7617210000000,2,203,43,27
7617210000000,3,50,10,3
7617210000000,4,336,86,49
7617210000000,5,2521,515,144
7617210000000,6,666,118,30
7617210000000,7,3617,878,384
7617210000000,9,259,25,9
7617390000000,1,7,1,0
7617390000000,2,41,9,7
7617390000000,3,5,1,0
7617390000000,4,31,7,4
7617390000000,5,352,86,29
7617390000000,6,40,10,2
7617390000000,7,791,192,84
7617390000000,9,148,36,15
7617540000000,0,203,1,0
7617540000000,1,51,11,1
7617540000000,2,742,161,86
7617540000000,3,122,31,7
7617540000000,4,513,92,34
7617540000000,5,3487,638,100
7617540000000,6,517,104,17
7617540000000,7,3646,899,336
7617540000000,9,139,23,6
7617880000000,0,14,3,0
7617880000000,2,155,25,12
7617880000000,3,61,9,4
7617880000000,4,260,38,19
7617880000000,5,2538,304,73
7617880000000,6,1092,135,25
7617880000000,7,296,41,13
7617880000000,9,45,6,1
7617960000000,0,14,4,1
7617960000000,1,22,5,1
7617960000000,2,932,242,139
7617960000000,3,76,12,4
7617960000000,4,574,125,73
7617960000000,5,4418,778,276
7617960000000,6,2025,359,99
7617960000000,7,854,199,91
7617960000000,9,29,3,0
7618040000000,0,5,1,0
7618040000000,1,21,4,2
7618040000000,2,5932,515,427
7618040000000,3,37,6,3
7618040000000,4,585,60,37
7618040000000,5,1148,192,93
7618040000000,6,362,55,22
7618040000000,7,6372,1276,828
7618040000000,9,1015,144,102
8100820000000,1,126,15,1
8100820000000,2,9,2,0
8100820000000,5,64,5,0
8100820000000,6,5,4,0
8100820000000,7,388,41,0
8618200000000,1,126,22,2
8618200000000,2,98,27,8
8618200000000,4,9,4,1
8618200000000,5,201,44,8
8618200000000,6,8,2,0
8618200000000,7,611,134,25
9100900000000,0,3,5,0
9100900000000,1,23,3,0
9100900000000,2,7,2,0
9100900000000,3,3,2,0
9100900000000,5,207,45,1
9100900000000,6,57,20,0
9100900000000,7,532,60,5
9100900000000,9,33,3,0
9618530000000,0,33,4,2
9618530000000,1,67,17,4
9618530000000,2,248,70,49
9618530000000,3,27,7,2
9618530000000,4,60,25,16
9618530000000,5,817,156,61
9618530000000,6,80,22,13
9618530000000,7,5101,1293,649
9618530000000,9,440,27,7
9619030000000,1,15,3,3
9619030000000,2,24,3,2
9619030000000,4,59,16,7
9619030000000,5,460,83,16
9619030000000,6,19,5,1
9619030000000,7,904,146,60
9619030000000,9,17,1,0
9737830000000,1,21,7,2
9737830000000,2,7,1,0
9737830000000,3,1,1,0
9737830000000,5,54,6,3
9737830000000,7,724,112,22
9765960000000,7,135,1,0
10101100000000,2,104,5,0
10101100000000,3,2,1,0
10101100000000,5,1265,58,1
10101100000000,6,341,13,0
10101100000000,7,336,29,0
10621200000000,1,318,22,4
10621200000000,2,5080,407,292
10621200000000,3,99,11,7
10621200000000,4,722,49,34
10621200000000,5,13025,722,310
10621200000000,6,1324,88,54
10621200000000,7,18072,1264,746
10621200000000,9,1185,47,33
10621300000000,0,33,1,0
10621300000000,2,80,6,2
10621300000000,4,20,1,1
10621300000000,5,3599,142,31
10621300000000,6,44,3,1
10621300000000,7,515,34,9
10621600000000,2,226,14,11
10621600000000,5,1905,128,53
10621600000000,6,17,3,0
10621600000000,7,230,16,10
10621700000000,0,12,10,0
10621700000000,1,458,28,4
10621700000000,2,8644,719,414
10621700000000,3,241,15,9
10621700000000,4,283,19,10
10621700000000,5,47653,2316,761
10621700000000,6,6904,407,136
10621700000000,7,8823,668,311
10621700000000,9,671,23,7
10622600000000,2,38,10,7
10622600000000,5,668,136,45
10622600000000,7,391,103,49
10622600000000,9,33,4,3
10622700000000,0,34,2,0
10622700000000,1,38,2,0
10622700000000,2,114,9,5
10622700000000,3,4,1,1
10622700000000,4,52,6,2
10622700000000,5,8507,472,143
10622700000000,6,40,3,0
10622700000000,7,1072,99,36
10622700000000,9,93,3,0
10622800000000,5,590,26,9
10622800000000,7,73,10,2
10623300000000,5,386,1,0
10623600000000,5,3597,193,59
10623800000000,5,496,1,0
10624100000000,1,48,3,2
10624100000000,2,1083,66,43
10624100000000,4,60,2,2
10624100000000,5,7657,503,214
10624100000000,6,157,10,6
10624100000000,7,1733,125,67
10624100000000,9,124,3,0
10624300000000,2,273,17,11
10624300000000,4,13,1,1
10624300000000,5,5657,329,112
10624300000000,6,30,2,1
10624300000000,7,446,37,15
