,CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function,Amount
0,1100170000000,Alameda County Office of Education,1,1,16,4,2,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,11704762.379999993
1,1100170000000,Alameda County Office of Education,1,1,16,4,2,10017,5400,Insurance                                                                                                                                                                                                                                                 ,2487.98
2,1100170000000,Alameda County Office of Education,1,1,16,4,2,10017,5900,Communications                                                                                                                                                                                                                                            ,783162.85
3,1100170000000,Alameda County Office of Education,1,1,16,4,2,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248270.85
4,1100170000000,Alameda County Office of Education,1,1,16,4,2,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,5172564.52
5,1100170000000,Alameda County Office of Education,2,9,201,12,2,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,11704762.379999993
6,1100170000000,Alameda County Office of Education,2,9,201,12,2,10017,5400,Insurance                                                                                                                                                                                                                                                 ,2487.98
7,1100170000000,Alameda County Office of Education,2,9,201,12,2,10017,5900,Communications                                                                                                                                                                                                                                            ,783162.85
8,1100170000000,Alameda County Office of Education,2,9,201,12,2,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248270.85
9,1100170000000,Alameda County Office of Education,2,9,201,12,2,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,5172564.52
10,1100170000000,Alameda County Office of Education,3,4,8,4,0,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,11704762.379999993
11,1100170000000,Alameda County Office of Education,3,4,8,4,0,10017,5400,Insurance                                                                                                                                                                                                                                                 ,2487.98
12,1100170000000,Alameda County Office of Education,3,4,8,4,0,10017,5900,Communications                                                                                                                                                                                                                                            ,783162.85
13,1100170000000,Alameda County Office of Education,3,4,8,4,0,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248270.85
14,1100170000000,Alameda County Office of Education,3,4,8,4,0,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,5172564.52
15,1100170000000,Alameda County Office of Education,4,2,19,2,0,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,11704762.379999993
16,1100170000000,Alameda County Office of Education,4,2,19,2,0,10017,5400,Insurance                                                                                                                                                                                                                                                 ,2487.98
17,1100170000000,Alameda County Office of Education,4,2,19,2,0,10017,5900,Communications                                                                                                                                                                                                                                            ,783162.85
18,1100170000000,Alameda County Office of Education,4,2,19,2,0,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248270.85
19,1100170000000,Alameda County Office of Education,4,2,19,2,0,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,5172564.52
20,1100170000000,Alameda County Office of Education,5,117,627,226,80,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,11704762.379999993
21,1100170000000,Alameda County Office of Education,5,117,627,226,80,10017,5400,Insurance                                                                                                                                                                                                                                                 ,2487.98
22,1100170000000,Alameda County Office of Education,5,117,627,226,80,10017,5900,Communications                                                                                                                                                                                                                                            ,783162.85
23,1100170000000,Alameda County Office of Education,5,117,627,226,80,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248270.85
24,1100170000000,Alameda County Office of Education,5,117,627,226,80,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,5172564.52
25,1100170000000,Alameda County Office of Education,6,113,418,166,70,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,11704762.379999993
26,1100170000000,Alameda County Office of Education,6,113,418,166,70,10017,5400,Insurance                                                                                                                                                                                                                                                 ,2487.98
27,1100170000000,Alameda County Office of Education,6,113,418,166,70,10017,5900,Communications                                                                                                                                                                                                                                            ,783162.85
