Year,CDS_CODE,DISTRICT,District_Code,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Function_Code,Function,Amount
1213,1100170000000,Alameda County Office of Education,10017,0,2,35,6,2,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,0,2,35,6,2,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,0,2,35,6,2,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,0,2,35,6,2,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,0,2,35,6,2,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,Alameda County Office of Education,10017,1,2,24,2,2,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,1,2,24,2,2,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,1,2,24,2,2,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,1,2,24,2,2,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,1,2,24,2,2,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,Alameda County Office of Education,10017,2,13,369,30,22,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,2,13,369,30,22,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,2,13,369,30,22,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,2,13,369,30,22,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,2,13,369,30,22,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,Alameda County Office of Education,10017,3,5,44,6,2,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,3,5,44,6,2,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,3,5,44,6,2,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,3,5,44,6,2,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,3,5,44,6,2,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,Alameda County Office of Education,10017,4,1,54,14,2,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,4,1,54,14,2,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,4,1,54,14,2,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,4,1,54,14,2,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,4,1,54,14,2,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,Alameda County Office of Education,10017,5,116,916,186,82,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,5,116,916,186,82,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,5,116,916,186,82,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,5,116,916,186,82,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,5,116,916,186,82,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,Alameda County Office of Education,10017,6,102,707,154,90,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,6,102,707,154,90,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,6,102,707,154,90,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,6,102,707,154,90,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,6,102,707,154,90,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,Alameda County Office of Education,10017,7,51,898,100,36,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,7,51,898,100,36,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,7,51,898,100,36,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,7,51,898,100,36,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,7,51,898,100,36,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,Alameda County Office of Education,10017,9,12,128,12,6,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,Alameda County Office of Education,10017,9,12,128,12,6,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,Alameda County Office of Education,10017,9,12,128,12,6,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,Alameda County Office of Education,10017,9,12,128,12,6,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,Alameda County Office of Education,10017,9,12,128,12,6,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1611190000000,Alameda Unified,61119,1,3,21,6,4,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,1,3,21,6,4,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,1,3,21,6,4,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,2,325,1506,602,392,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,2,325,1506,602,392,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,2,325,1506,602,392,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,3,7,69,10,4,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,3,7,69,10,4,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,3,7,69,10,4,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
1213,1611190000000,Alameda Unified,61119,4,84,479,154,60,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2856176.450000001
1213,1611190000000,Alameda Unified,61119,4,84,479,154,60,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,692260.61
1213,1611190000000,Alameda Unified,61119,4,84,479,154,60,9200,Accounts Receivable                                                                                                                                                                                                                                       ,469552.67
