Year,CDS_CODE,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,District_Code,Function_Code,Function,Amount
1213,1100170000000,0,2,35,3,1,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,0,2,35,3,1,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,0,2,35,3,1,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,0,2,35,3,1,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,0,2,35,3,1,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,1,2,24,1,1,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,1,2,24,1,1,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,1,2,24,1,1,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,1,2,24,1,1,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,1,2,24,1,1,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,2,13,369,15,11,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,2,13,369,15,11,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,2,13,369,15,11,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,2,13,369,15,11,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,2,13,369,15,11,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
1213,1100170000000,3,5,44,3,1,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5761988.840000003
1213,1100170000000,3,5,44,3,1,10017,5900,Communications                                                                                                                                                                                                                                            ,2126900.99
1213,1100170000000,3,5,44,3,1,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,248316.29000000004
1213,1100170000000,3,5,44,3,1,10017,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,2607.78
1213,1100170000000,3,5,44,3,1,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,1138122.98
