,CDS_CODE,District_Code,Function_Code,Function,Amount,Year
0,1100170000000,10017,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,10755752.489999996,1415
1,1100170000000,10017,5400,Insurance                                                                                                                                                                                                                                                 ,3652.71,1415
2,1100170000000,10017,5900,Communications                                                                                                                                                                                                                                            ,1329205.2300000002,1415
3,1100170000000,10017,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,273962.33,1415
4,1100170000000,10017,9200,Accounts Receivable                                                                                                                                                                                                                                       ,225391.0,1415
5,1404020000000,40402,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,352337.6600000001,1415
6,1404100000000,40410,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,5552172.150000001,1415
7,1404280000000,40428,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,7168646.09,1415
8,1405010000000,40501,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,10097.02,1415
9,1405010000000,40501,9200,Accounts Receivable                                                                                                                                                                                                                                       ,200841.77,1415
10,1611190000000,61119,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3622777.619999997,1415
11,1611190000000,61119,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,700044.28,1415
12,1611190000000,61119,9200,Accounts Receivable                                                                                                                                                                                                                                       ,589473.84,1415
13,1611270000000,61127,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,2567750.5200000005,1415
14,1611270000000,61127,2200,Classified Support Salaries                                                                                                                                                                                                                               ,443720.59,1415
15,1611270000000,61127,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,21406.95,1415
16,1611270000000,61127,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,398474.21,1415
17,1611270000000,61127,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,1882097.54,1415
18,1611270000000,61127,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17681538.0,1415
19,1611430000000,61143,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,8723141.409999996,1415
20,1611430000000,61143,9200,Accounts Receivable                                                                                                                                                                                                                                       ,23870.0,1415
21,1611500000000,61150,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,4245123.489999998,1415
22,1611500000000,61150,2200,Classified Support Salaries                                                                                                                                                                                                                               ,170564.37,1415
23,1611500000000,61150,9200,Accounts Receivable                                                                                                                                                                                                                                       ,27356170.85,1415
24,1611680000000,61168,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,550789.6000000001,1415
25,1611680000000,61168,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,100242.87,1415
26,1611680000000,61168,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,296586.24,1415
27,1611760000000,61176,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,17954137.030000012,1415
28,1611760000000,61176,2200,Classified Support Salaries                                                                                                                                                                                                                               ,445667.2899999999,1415
29,1611760000000,61176,9200,Accounts Receivable                                                                                                                                                                                                                                       ,17805555.12,1415
30,1611920000000,61192,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,4378130.679999994,1415
31,1611920000000,61192,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,22878.42000000001,1415
32,1611920000000,61192,4200,Books and Other Reference Materials                                                                                                                                                                                                                       ,545530.96,1415
33,1611920000000,61192,7110,Tuition for Instruction Under Interdistrict Attendance Agreements                                                                                                                                                                                         ,290727.52,1415
34,1611920000000,61192,7310,Transfers of Indirect Costs                                                                                                                                                                                                                               ,215365.85,1415
35,1611920000000,61192,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3435961.0,1415
36,1612000000000,61200,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3996141.140000001,1415
37,1612000000000,61200,9200,Accounts Receivable                                                                                                                                                                                                                                       ,3119714.5700000008,1415
38,1612180000000,61218,8110,Maintenance and Operations (Public Law 81-874)                                                                                                                                                                                                            ,61958.76,1415
39,1612340000000,61234,2100,Classified Instructional Salaries                                                                                                                                                                                                                         ,3990757.3999999966,1415
40,1612340000000,61234,4100,Approved Textbooks and Core Curricula Materials                                                                                                                                                                                                           ,44411.46,1415
