,CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Year
0,1100170000000,Alameda County Office of Education,1,5,24,10,6,1415
1,1100170000000,Alameda County Office of Education,2,29,430,64,8,1415
2,1100170000000,Alameda County Office of Education,3,6,32,8,4,1415
3,1100170000000,Alameda County Office of Education,4,7,42,10,6,1415
4,1100170000000,Alameda County Office of Education,5,161,876,296,136,1415
5,1100170000000,Alameda County Office of Education,6,125,591,170,84,1415
6,1100170000000,Alameda County Office of Education,7,50,715,90,8,1415
7,1100170000000,Alameda County Office of Education,9,14,160,18,6,1415
8,1316170000000,California School for the Deaf-Fremont (State Spec,2,2,26,2,0,1415
9,1316170000000,California School for the Deaf-Fremont (State Spec,3,1,2,1,0,1415
10,1316170000000,California School for the Deaf-Fremont (State Spec,4,6,22,8,0,1415
11,1316170000000,California School for the Deaf-Fremont (State Spec,5,34,186,28,0,1415
12,1316170000000,California School for the Deaf-Fremont (State Spec,6,14,41,10,0,1415
13,1316170000000,California School for the Deaf-Fremont (State Spec,7,20,116,24,0,1415
14,1611190000000,Alameda Unified,0,0,11,2,2,1415
15,1611190000000,Alameda Unified,1,1,23,2,0,1415
16,1611190000000,Alameda Unified,2,304,1474,568,406,1415
17,1611190000000,Alameda Unified,3,8,58,16,4,1415
18,1611190000000,Alameda Unified,4,68,465,126,62,1415
19,1611190000000,Alameda Unified,5,192,1091,346,92,1415
20,1611190000000,Alameda Unified,6,97,752,150,46,1415
21,1611190000000,Alameda Unified,7,212,1566,382,212,1415
22,1611190000000,Alameda Unified,9,40,360,76,30,1415
23,1611270000000,Albany City Unified,2,93,359,176,138,1415
24,1611270000000,Albany City Unified,3,1,3,2,0,1415
25,1611270000000,Albany City Unified,4,6,20,12,6,1415
26,1611270000000,Albany City Unified,5,58,215,96,40,1415
27,1611270000000,Albany City Unified,6,15,60,24,8,1415
28,1611270000000,Albany City Unified,7,87,442,172,102,1415
29,1611270000000,Albany City Unified,9,29,119,56,22,1415
30,1611430000000,Berkeley Unified,1,2,6,4,4,1415
31,1611430000000,Berkeley Unified,2,58,274,116,74,1415
32,1611430000000,Berkeley Unified,3,3,11,4,0,1415
33,1611430000000,Berkeley Unified,4,11,37,18,12,1415
34,1611430000000,Berkeley Unified,5,208,1128,354,194,1415
35,1611430000000,Berkeley Unified,6,204,822,388,138,1415
36,1611430000000,Berkeley Unified,7,330,1313,626,524,1415
37,1611430000000,Berkeley Unified,9,69,364,132,84,1415
38,1611500000000,Castro Valley Unified,0,4,16,8,4,1415
39,1611500000000,Castro Valley Unified,1,3,11,4,2,1415
40,1611500000000,Castro Valley Unified,2,192,766,372,284,1415
41,1611500000000,Castro Valley Unified,3,5,21,10,2,1415
42,1611500000000,Castro Valley Unified,4,26,136,44,26,1415
43,1611500000000,Castro Valley Unified,5,164,718,304,114,1415
44,1611500000000,Castro Valley Unified,6,57,253,110,32,1415
45,1611500000000,Castro Valley Unified,7,235,971,440,246,1415
46,1611500000000,Castro Valley Unified,9,69,261,136,84,1415
47,1611680000000,Emery Unified,2,5,24,10,6,1415
48,1611680000000,Emery Unified,5,8,34,14,8,1415
49,1611680000000,Emery Unified,6,31,118,42,6,1415
50,1611680000000,Emery Unified,7,3,13,6,0,1415
