CDS_CODE,ETHNIC,DISTRICT,GENDER,GR_12,ENR_TOTAL
1100170000000,0,Alameda County Office of Education,F,1,12
1100170000000,0,Alameda County Office of Education,M,0,17
1100170000000,1,Alameda County Office of Education,F,2,14
1100170000000,1,Alameda County Office of Education,M,1,9
1100170000000,2,Alameda County Office of Education,F,6,197
1100170000000,2,Alameda County Office of Education,M,7,198
1100170000000,3,Alameda County Office of Education,F,1,20
1100170000000,3,Alameda County Office of Education,M,1,13
1100170000000,4,Alameda County Office of Education,F,3,27
1100170000000,4,Alameda County Office of Education,M,0,15
1100170000000,5,Alameda County Office of Education,F,43,401
1100170000000,5,Alameda County Office of Education,M,59,415
1100170000000,6,Alameda County Office of Education,F,30,284
1100170000000,6,Alameda County Office of Education,M,32,313
1100170000000,7,Alameda County Office of Education,F,21,465
1100170000000,7,Alameda County Office of Education,M,8,410
1100170000000,9,Alameda County Office of Education,F,2,64
1100170000000,9,Alameda County Office of Education,M,5,88
1100180000000,0,Alameda County Office of Education,F,0,0
1100180000000,0,Alameda County Office of Education,M,0,0
1100180000000,1,Alameda County Office of Education,F,0,19
1100180000000,1,Alameda County Office of Education,M,0,25
1100180000000,2,Alameda County Office of Education,F,0,7
1100180000000,2,Alameda County Office of Education,M,0,15
1100180000000,3,Alameda County Office of Education,F,0,10
1100180000000,3,Alameda County Office of Education,M,0,13
1100180000000,4,Alameda County Office of Education,F,0,1
1100180000000,5,Alameda County Office of Education,F,0,351
1100180000000,5,Alameda County Office of Education,M,0,359
1100180000000,6,Alameda County Office of Education,F,0,69
1100180000000,6,Alameda County Office of Education,M,0,67
1100180000000,7,Alameda County Office of Education,F,0,6
1100180000000,7,Alameda County Office of Education,M,0,4
1100180000000,9,Alameda County Office of Education,F,0,9
1100180000000,9,Alameda County Office of Education,M,0,4
1316090000000,2,California School for the Blind (State Special Sch,M,0,2
1316090000000,3,California School for the Blind (State Special Sch,M,0,2
1316090000000,4,California School for the Blind (State Special Sch,M,0,1
1316090000000,5,California School for the Blind (State Special Sch,F,0,19
1316090000000,5,California School for the Blind (State Special Sch,M,0,15
1316090000000,6,California School for the Blind (State Special Sch,F,0,2
1316090000000,6,California School for the Blind (State Special Sch,M,0,3
1316090000000,7,California School for the Blind (State Special Sch,F,0,12
1316090000000,7,California School for the Blind (State Special Sch,M,0,14
1316090000000,9,California School for the Blind (State Special Sch,F,0,1
1316090000000,9,California School for the Blind (State Special Sch,M,0,1
1316170000000,0,California School for the Deaf-Fremont (State Spec,F,0,1
1316170000000,0,California School for the Deaf-Fremont (State Spec,M,0,5
1316170000000,1,California School for the Deaf-Fremont (State Spec,F,0,1
1316170000000,1,California School for the Deaf-Fremont (State Spec,M,0,1
1316170000000,2,California School for the Deaf-Fremont (State Spec,F,5,19
1316170000000,2,California School for the Deaf-Fremont (State Spec,M,3,9
1316170000000,3,California School for the Deaf-Fremont (State Spec,F,1,2
1316170000000,4,California School for the Deaf-Fremont (State Spec,F,1,6
1316170000000,4,California School for the Deaf-Fremont (State Spec,M,2,11
1316170000000,5,California School for the Deaf-Fremont (State Spec,F,15,81
1316170000000,5,California School for the Deaf-Fremont (State Spec,M,20,100
1316170000000,6,California School for the Deaf-Fremont (State Spec,F,4,17
1316170000000,6,California School for the Deaf-Fremont (State Spec,M,7,20
1316170000000,7,California School for the Deaf-Fremont (State Spec,F,4,57
1316170000000,7,California School for the Deaf-Fremont (State Spec,M,13,62
1316170000000,9,California School for the Deaf-Fremont (State Spec,F,1,7
1316170000000,9,California School for the Deaf-Fremont (State Spec,M,0,5
1611190000000,0,Alameda Unified,F,0,4
1611190000000,0,Alameda Unified,M,0,2
1611190000000,1,Alameda Unified,F,1,12
1611190000000,1,Alameda Unified,M,2,8
1611190000000,2,Alameda Unified,F,155,711
1611190000000,2,Alameda Unified,M,175,800
1611190000000,3,Alameda Unified,F,2,33
1611190000000,3,Alameda Unified,M,13,45
1611190000000,4,Alameda Unified,F,50,219
1611190000000,4,Alameda Unified,M,42,248
1611190000000,5,Alameda Unified,F,80,547
1611190000000,5,Alameda Unified,M,68,507
1611190000000,6,Alameda Unified,F,52,389
1611190000000,6,Alameda Unified,M,49,433
1611190000000,7,Alameda Unified,F,117,708
1611190000000,7,Alameda Unified,M,112,764
1611190000000,9,Alameda Unified,F,6,151
1611190000000,9,Alameda Unified,M,8,166
1611200000000,0,Alameda Unified,M,0,1
1611200000000,1,Alameda Unified,F,0,4
1611200000000,1,Alameda Unified,M,0,7
1611200000000,2,Alameda Unified,F,0,767
1611200000000,2,Alameda Unified,M,0,791
1611200000000,3,Alameda Unified,F,0,21
1611200000000,3,Alameda Unified,M,0,18
1611200000000,4,Alameda Unified,F,0,173
1611200000000,4,Alameda Unified,M,0,165
1611200000000,5,Alameda Unified,F,0,347
1611200000000,5,Alameda Unified,M,0,406
1611200000000,6,Alameda Unified,F,0,166
1611200000000,6,Alameda Unified,M,0,159
1611200000000,7,Alameda Unified,F,0,832
1611200000000,7,Alameda Unified,M,0,871
1611200000000,9,Alameda Unified,F,0,227
1611200000000,9,Alameda Unified,M,0,245
1611270000000,0,Albany City Unified,M,1,2
1611270000000,1,Albany City Unified,F,1,1
1611270000000,1,Albany City Unified,M,0,1
1611270000000,2,Albany City Unified,F,54,176
1611270000000,2,Albany City Unified,M,48,190
1611270000000,3,Albany City Unified,M,1,2
1611270000000,4,Albany City Unified,F,0,5
1611270000000,4,Albany City Unified,M,2,11
1611270000000,5,Albany City Unified,F,26,94
1611270000000,5,Albany City Unified,M,28,120
1611270000000,6,Albany City Unified,F,6,31
1611270000000,6,Albany City Unified,M,11,42
1611270000000,7,Albany City Unified,F,51,204
1611270000000,7,Albany City Unified,M,39,206
1611270000000,9,Albany City Unified,F,16,58
1611270000000,9,Albany City Unified,M,13,58
1611280000000,1,Albany City Unified,F,0,4
1611280000000,1,Albany City Unified,M,0,1
1611280000000,2,Albany City Unified,F,0,371
1611280000000,2,Albany City Unified,M,0,394
1611280000000,3,Albany City Unified,F,0,2
1611280000000,3,Albany City Unified,M,0,5
1611280000000,4,Albany City Unified,F,0,11
1611280000000,4,Albany City Unified,M,0,14
1611280000000,5,Albany City Unified,F,0,208
1611280000000,5,Albany City Unified,M,0,229
1611280000000,6,Albany City Unified,F,0,45
1611280000000,6,Albany City Unified,M,0,32
1611280000000,7,Albany City Unified,F,0,470
1611280000000,7,Albany City Unified,M,0,521
1611280000000,9,Albany City Unified,F,0,156
1611280000000,9,Albany City Unified,M,0,175
1611430000000,0,Berkeley Unified,F,3,20
1611430000000,0,Berkeley Unified,M,0,29
1611430000000,1,Berkeley Unified,F,2,5
1611430000000,1,Berkeley Unified,M,2,8
1611430000000,2,Berkeley Unified,F,45,148
1611430000000,2,Berkeley Unified,M,39,137
1611430000000,3,Berkeley Unified,F,0,2
1611430000000,3,Berkeley Unified,M,1,5
1611430000000,4,Berkeley Unified,F,2,13
1611430000000,4,Berkeley Unified,M,1,11
1611430000000,5,Berkeley Unified,F,88,493
1611430000000,5,Berkeley Unified,M,76,546
1611430000000,6,Berkeley Unified,F,110,430
1611430000000,6,Berkeley Unified,M,94,426
1611430000000,7,Berkeley Unified,F,140,617
1611430000000,7,Berkeley Unified,M,152,636
1611430000000,9,Berkeley Unified,F,47,169
1611430000000,9,Berkeley Unified,M,44,187
1611440000000,0,Berkeley Unified,F,0,26
1611440000000,0,Berkeley Unified,M,0,31
1611440000000,1,Berkeley Unified,F,0,7
1611440000000,1,Berkeley Unified,M,0,7
1611440000000,2,Berkeley Unified,F,0,229
1611440000000,2,Berkeley Unified,M,0,220
1611440000000,3,Berkeley Unified,F,0,10
1611440000000,3,Berkeley Unified,M,0,3
1611440000000,4,Berkeley Unified,F,0,17
1611440000000,4,Berkeley Unified,M,0,10
1611440000000,5,Berkeley Unified,F,0,679
1611440000000,5,Berkeley Unified,M,0,733
1611440000000,6,Berkeley Unified,F,0,576
1611440000000,6,Berkeley Unified,M,0,565
1611440000000,7,Berkeley Unified,F,0,1121
1611440000000,7,Berkeley Unified,M,0,1243
1611440000000,9,Berkeley Unified,F,0,404
1611440000000,9,Berkeley Unified,M,0,418
1611500000000,0,Castro Valley Unified,F,4,11
1611500000000,0,Castro Valley Unified,M,3,10
1611500000000,1,Castro Valley Unified,F,2,7
1611500000000,1,Castro Valley Unified,M,1,3
1611500000000,2,Castro Valley Unified,F,115,371
1611500000000,2,Castro Valley Unified,M,78,349
1611500000000,3,Castro Valley Unified,F,1,12
1611500000000,3,Castro Valley Unified,M,3,9
1611500000000,4,Castro Valley Unified,F,7,45
1611500000000,4,Castro Valley Unified,M,14,57
1611500000000,5,Castro Valley Unified,F,94,366
1611500000000,5,Castro Valley Unified,M,110,382
1611500000000,6,Castro Valley Unified,F,39,140
1611500000000,6,Castro Valley Unified,M,28,104
1611500000000,7,Castro Valley Unified,F,129,480
1611500000000,7,Castro Valley Unified,M,131,517
1611500000000,9,Castro Valley Unified,F,40,163
1611500000000,9,Castro Valley Unified,M,37,131
1611510000000,0,Castro Valley Unified,F,0,20
1611510000000,0,Castro Valley Unified,M,0,20
1611510000000,1,Castro Valley Unified,F,0,9
1611510000000,1,Castro Valley Unified,M,0,10
1611510000000,2,Castro Valley Unified,F,0,739
1611510000000,2,Castro Valley Unified,M,0,760
1611510000000,3,Castro Valley Unified,F,0,15
1611510000000,3,Castro Valley Unified,M,0,15
