CDS_CODE,DISTRICT,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS
1100170000000,Alameda County Office of Education,0,1,29,4,0
1100170000000,Alameda County Office of Education,1,3,23,2,2
1100170000000,Alameda County Office of Education,2,13,395,26,10
1100170000000,Alameda County Office of Education,3,2,33,2,0
1100170000000,Alameda County Office of Education,4,3,42,12,6
1100170000000,Alameda County Office of Education,5,102,816,196,88
1100170000000,Alameda County Office of Education,6,62,597,134,66
1100170000000,Alameda County Office of Education,7,29,875,100,20
1100170000000,Alameda County Office of Education,9,7,152,10,2
1316170000000,California School for the Deaf-Fremont (State Spec,2,8,28,10,0
1316170000000,California School for the Deaf-Fremont (State Spec,5,35,181,30,0
1316170000000,California School for the Deaf-Fremont (State Spec,6,11,37,6,0
1316170000000,California School for the Deaf-Fremont (State Spec,7,17,119,24,0
1316170000000,California School for the Deaf-Fremont (State Spec,9,1,12,2,0
1611190000000,Alameda Unified,1,3,20,2,0
1611190000000,Alameda Unified,2,330,1511,602,416
1611190000000,Alameda Unified,3,15,78,24,2
1611190000000,Alameda Unified,4,92,467,170,62
1611190000000,Alameda Unified,5,148,1054,236,104
1611190000000,Alameda Unified,6,101,822,148,42
1611190000000,Alameda Unified,7,229,1472,406,224
1611190000000,Alameda Unified,9,14,317,24,12
1611270000000,Albany City Unified,1,1,2,2,0
1611270000000,Albany City Unified,2,102,366,190,100
1611270000000,Albany City Unified,3,1,2,1,0
1611270000000,Albany City Unified,4,2,16,4,0
1611270000000,Albany City Unified,5,54,214,100,24
1611270000000,Albany City Unified,6,17,73,34,12
1611270000000,Albany City Unified,7,90,410,172,68
1611270000000,Albany City Unified,9,29,116,58,10
1611430000000,Berkeley Unified,0,3,49,2,0
1611430000000,Berkeley Unified,1,4,13,6,2
1611430000000,Berkeley Unified,2,84,285,150,92
1611430000000,Berkeley Unified,3,1,7,2,0
1611430000000,Berkeley Unified,4,3,24,8,6
1611430000000,Berkeley Unified,5,164,1039,290,110
1611430000000,Berkeley Unified,6,204,856,340,76
1611430000000,Berkeley Unified,7,292,1253,560,406
1611430000000,Berkeley Unified,9,91,356,162,108
1611500000000,Castro Valley Unified,0,7,21,10,2
1611500000000,Castro Valley Unified,1,3,10,4,0
1611500000000,Castro Valley Unified,2,193,720,376,304
1611500000000,Castro Valley Unified,3,4,21,8,2
1611500000000,Castro Valley Unified,4,21,102,56,30
1611500000000,Castro Valley Unified,5,204,748,378,124
1611500000000,Castro Valley Unified,6,67,244,118,48
1611500000000,Castro Valley Unified,7,260,997,492,250
1611500000000,Castro Valley Unified,9,77,294,136,76
1611680000000,Emery Unified,2,7,21,14,0
1611680000000,Emery Unified,5,14,41,28,0
1611680000000,Emery Unified,6,29,138,46,4
1611680000000,Emery Unified,7,5,14,6,0
1611760000000,Fremont Unified,0,0,1,1,1
1611760000000,Fremont Unified,1,13,39,22,10
1611760000000,Fremont Unified,2,1299,5181,2468,2074
1611760000000,Fremont Unified,3,12,71,20,10
1611760000000,Fremont Unified,4,172,665,338,192
1611760000000,Fremont Unified,5,404,1604,702,226
1611760000000,Fremont Unified,6,111,419,176,70
1611760000000,Fremont Unified,7,550,1990,1024,530
1611760000000,Fremont Unified,9,43,173,64,38
1611920000000,Hayward Unified,1,11,38,18,6
1611920000000,Hayward Unified,2,132,658,234,144
1611920000000,Hayward Unified,3,81,269,150,66
1611920000000,Hayward Unified,4,141,608,254,142
1611920000000,Hayward Unified,5,778,3877,1230,532
1611920000000,Hayward Unified,6,240,1013,318,110
1611920000000,Hayward Unified,7,115,547,190,96
1611920000000,Hayward Unified,9,17,166,36,20
1612000000000,Livermore Valley Joint Unified,0,3,61,4,4
1612000000000,Livermore Valley Joint Unified,1,4,18,8,4
1612000000000,Livermore Valley Joint Unified,2,52,350,100,70
1612000000000,Livermore Valley Joint Unified,3,2,17,4,0
1612000000000,Livermore Valley Joint Unified,4,30,159,58,40
