CDS_CODE,ETHNIC,GRADS,UC_GRADS
1100170000000,0,3,1
1100170000000,1,1,1
1100170000000,2,15,11
1100170000000,3,3,1
1100170000000,4,7,1
1100170000000,5,93,41
1100170000000,6,77,45
1100170000000,7,50,18
1100170000000,9,6,3
1316170000000,2,1,0
1316170000000,4,1,0
1316170000000,5,16,0
1316170000000,6,1,0
1316170000000,7,13,0
1611190000000,1,3,2
1611190000000,2,301,196
1611190000000,3,5,2
1611190000000,4,77,30
1611190000000,5,112,42
1611190000000,6,82,15
1611190000000,7,239,135
1611190000000,9,8,4
1611270000000,2,107,57
1611270000000,3,1,0
1611270000000,4,3,1
1611270000000,5,46,7
1611270000000,6,19,6
1611270000000,7,98,37
1611270000000,9,29,13
1611430000000,2,82,41
1611430000000,4,8,1
1611430000000,5,161,57
1611430000000,6,190,35
1611430000000,7,286,213
1611430000000,9,59,36
1611500000000,0,3,2
1611500000000,1,2,1
1611500000000,2,167,132
1611500000000,3,3,2
1611500000000,4,28,18
1611500000000,5,170,67
1611500000000,6,50,15
1611500000000,7,240,129
1611500000000,9,78,40
1611680000000,2,7,3
1611680000000,5,7,4
1611680000000,6,21,3
1611680000000,9,1,1
1611760000000,1,10,3
1611760000000,2,1201,968
1611760000000,3,19,9
1611760000000,4,134,62
1611760000000,5,337,100
1611760000000,6,77,17
1611760000000,7,492,248
1611760000000,9,45,22
1611920000000,1,9,4
1611920000000,2,106,76
1611920000000,3,74,35
1611920000000,4,113,73
1611920000000,5,617,258
1611920000000,6,195,57
1611920000000,7,108,58
1611920000000,9,23,13
1612000000000,0,1,0
1612000000000,1,7,4
1612000000000,2,54,36
1612000000000,3,4,2
1612000000000,4,27,18
1612000000000,5,217,79
1612000000000,6,14,5
1612000000000,7,663,376
1612000000000,9,61,35
1612340000000,0,1,0
1612340000000,1,2,1
1612340000000,2,54,25
1612340000000,3,9,1
1612340000000,4,44,21
1612340000000,5,212,35
1612340000000,6,23,4
1612340000000,7,102,27
1612340000000,9,31,10
1612420000000,1,2,1
1612420000000,2,225,155
1612420000000,3,30,20
1612420000000,4,206,111
1612420000000,5,297,101
1612420000000,6,84,31
1612420000000,7,97,47
1612420000000,9,19,10
1612590000000,0,13,10
1612590000000,1,7,1
1612590000000,2,440,278
1612590000000,3,28,11
1612590000000,4,28,17
1612590000000,5,896,506
1612590000000,6,746,250
1612590000000,7,150,110
1612590000000,9,25,14
1612600000000,0,1,0
1612600000000,2,1,0
1612600000000,5,9,1
1612600000000,6,14,1
1612600000000,7,5,1
1612600000000,9,1,1
1612750000000,2,39,36
1612750000000,4,2,1
1612750000000,5,10,7
1612750000000,6,5,2
1612750000000,7,141,129
1612750000000,9,9,8
1612910000000,0,1,0
1612910000000,1,4,0
1612910000000,2,102,60
1612910000000,3,11,3
1612910000000,4,59,26
1612910000000,5,212,38
1612910000000,6,132,32
1612910000000,7,59,15
1612910000000,9,5,1
1613090000000,1,5,1
1613090000000,2,140,103
1613090000000,3,20,7
1613090000000,4,97,54
1613090000000,5,410,120
1613090000000,6,132,30
1613090000000,7,115,36
1613090000000,9,3,3
1750930000000,1,1,1
1750930000000,2,84,77
1750930000000,3,1,0
1750930000000,4,28,20
1750930000000,5,55,23
1750930000000,6,35,19
1750930000000,7,196,113
1750930000000,9,12,8
1751010000000,1,9,7
1751010000000,2,333,277
1751010000000,3,5,2
1751010000000,4,34,27
1751010000000,5,113,52
1751010000000,6,21,8
1751010000000,7,691,467
1751010000000,9,15,6
2100250000000,1,1,0
2613330000000,1,1,0
3100330000000,2,1,0
3100330000000,5,2,0
3100330000000,7,6,0
3739810000000,0,1,0
3739810000000,1,3,1
3739810000000,3,1,0
3739810000000,4,4,2
3739810000000,5,55,8
3739810000000,6,2,0
3739810000000,7,219,53
3739810000000,9,8,3
4100410000000,1,4,0
4100410000000,2,2,0
4100410000000,4,1,0
4100410000000,5,13,0
4100410000000,6,1,0
4100410000000,7,91,11
4100410000000,9,3,0
4614080000000,1,1,0
4614080000000,2,1,1
4614080000000,5,13,2
4614080000000,7,21,3
4614080000000,9,1,0
4614240000000,0,1,0
4614240000000,1,16,6
4614240000000,2,86,40
4614240000000,3,7,3
4614240000000,4,8,7
4614240000000,5,187,51
4614240000000,6,27,4
4614240000000,7,753,326
4614240000000,9,10,2
4614320000000,2,1,0
4614320000000,5,19,4
4614320000000,6,1,0
4614320000000,7,66,20
4614320000000,9,1,1
4614400000000,1,5,0
4614400000000,5,5,0
4614400000000,7,6,0
4614400000000,9,2,0
4614570000000,7,2,0
4615150000000,1,15,0
4615150000000,2,118,37
4615150000000,3,1,1
4615150000000,4,2,1
4615150000000,5,88,11
4615150000000,6,11,0
4615150000000,7,248,26
4615150000000,9,43,3
4615310000000,1,3,0
4615310000000,2,2,1
4615310000000,5,24,6
4615310000000,6,1,0
4615310000000,7,255,55
4615310000000,9,12,3
4615320000000,7,10,0
4615320000000,9,1,0
4755070000000,0,6,0
4755070000000,2,6,3
4755070000000,5,84,23
4755070000000,6,2,0
4755070000000,7,57,15
4755070000000,9,1,1
5100580000000,0,1,0
5100580000000,1,2,0
5100580000000,3,1,0
5100580000000,5,9,0
5100580000000,7,53,0
5100580000000,9,8,0
5100590000000,5,2,0
5100590000000,6,2,0
5100590000000,7,5,0
5615560000000,1,2,0
5615560000000,2,5,2
5615560000000,5,36,10
5615560000000,6,2,0
5615560000000,7,144,52
5615560000000,9,10,5
5615640000000,1,3,0
5615640000000,2,3,2
5615640000000,4,1,1
5615640000000,5,19,5
5615640000000,6,4,2
5615640000000,7,214,52
5615640000000,9,4,0
6100660000000,5,1,0
6100660000000,7,1,0
6615980000000,1,1,0
6615980000000,3,1,0
6615980000000,5,47,11
6615980000000,6,2,0
6615980000000,7,33,13
6616060000000,1,1,0
6616060000000,5,10,2
6616060000000,7,16,2
6616140000000,0,1,0
6616140000000,1,3,0
6616140000000,2,2,0
6616140000000,5,56,15
6616140000000,6,4,0
6616140000000,7,26,9
6616220000000,1,1,0
6616220000000,2,3,3
6616220000000,5,66,17
6616220000000,7,8,4
7100740000000,2,26,24
7100740000000,3,4,4
7100740000000,4,15,15
7100740000000,5,78,60
7100740000000,6,27,13
7100740000000,7,261,253
7100740000000,9,5,5
7616300000000,0,1,1
7616300000000,1,1,1
7616300000000,2,167,138
7616300000000,3,5,2
7616300000000,4,20,13
7616300000000,5,111,55
7616300000000,6,13,9
7616300000000,7,965,738
7616300000000,9,90,52
7616480000000,0,2,1
7616480000000,1,12,5
7616480000000,2,72,43
7616480000000,3,11,0
7616480000000,4,64,30
7616480000000,5,425,123
7616480000000,6,280,40
7616480000000,7,308,127
7616480000000,9,61,21
7616970000000,2,16,8
7616970000000,4,10,5
7616970000000,5,29,5
7616970000000,6,21,0
7616970000000,7,34,4
7616970000000,9,7,2
7617210000000,0,2,0
7617210000000,1,11,2
7617210000000,2,43,27
7617210000000,3,10,3
7617210000000,4,86,49
7617210000000,5,515,144
7617210000000,6,118,30
7617210000000,7,878,384
7617210000000,9,25,9
7617390000000,1,1,0
7617390000000,2,9,7
7617390000000,3,1,0
7617390000000,4,7,4
7617390000000,5,86,29
7617390000000,6,10,2
7617390000000,7,192,84
7617390000000,9,36,15
7617540000000,0,1,0
7617540000000,1,11,1
7617540000000,2,161,86
7617540000000,3,31,7
7617540000000,4,92,34
7617540000000,5,638,100
7617540000000,6,104,17
7617540000000,7,899,336
7617540000000,9,23,6
7617880000000,0,3,0
7617880000000,2,25,12
7617880000000,3,9,4
7617880000000,4,38,19
7617880000000,5,304,73
7617880000000,6,135,25
7617880000000,7,41,13
7617880000000,9,6,1
7617960000000,0,4,1
7617960000000,1,5,1
7617960000000,2,242,139
7617960000000,3,12,4
7617960000000,4,125,73
7617960000000,5,778,276
7617960000000,6,359,99
7617960000000,7,199,91
7617960000000,9,3,0
7618040000000,0,1,0
7618040000000,1,4,2
7618040000000,2,515,427
7618040000000,3,6,3
7618040000000,4,60,37
7618040000000,5,192,93
7618040000000,6,55,22
7618040000000,7,1276,828
7618040000000,9,144,102
8100820000000,1,15,1
8100820000000,2,2,0
8100820000000,3,1,0
8100820000000,5,5,0
8100820000000,6,4,0
8100820000000,7,41,0
8618200000000,1,22,2
8618200000000,2,27,8
8618200000000,4,4,1
8618200000000,5,44,8
8618200000000,6,2,0
8618200000000,7,134,25
9100900000000,0,5,0
9100900000000,1,3,0
9100900000000,2,2,0
9100900000000,3,2,0
9100900000000,5,45,1
9100900000000,6,20,0
9100900000000,7,60,5
9100900000000,9,3,0
9618530000000,0,4,2
9618530000000,1,17,4
9618530000000,2,70,49
9618530000000,3,7,2
9618530000000,4,25,16
9618530000000,5,156,61
9618530000000,6,22,13
9618530000000,7,1293,649
9618530000000,9,27,7
9619030000000,1,3,3
9619030000000,2,3,2
9619030000000,4,16,7
9619030000000,5,83,16
9619030000000,6,5,1
9619030000000,7,146,60
9619030000000,9,1,0
9737830000000,1,7,2
9737830000000,2,1,0
9737830000000,3,1,0
9737830000000,5,6,3
9737830000000,7,112,22
9765960000000,7,1,0
10101100000000,2,5,0
10101100000000,3,1,0
10101100000000,5,58,1
10101100000000,6,13,0
10101100000000,7,29,0
10621200000000,1,22,4
10621200000000,2,407,292
10621200000000,3,11,7
10621200000000,4,49,34
10621200000000,5,722,310
10621200000000,6,88,54
10621200000000,7,1264,746
10621200000000,9,47,33
10621300000000,0,1,0
10621300000000,2,6,2
10621300000000,4,1,1
10621300000000,5,142,31
10621300000000,6,3,1
10621300000000,7,34,9
10621600000000,2,14,11
10621600000000,5,128,53
10621600000000,6,3,0
10621600000000,7,16,10
10621700000000,0,10,0
10621700000000,1,28,4
10621700000000,2,719,414
10621700000000,3,15,9
10621700000000,4,19,10
10621700000000,5,2316,761
10621700000000,6,407,136
10621700000000,7,668,311
10621700000000,9,23,7
10622600000000,2,10,7
10622600000000,5,136,45
10622600000000,7,103,49
10622600000000,9,4,3
10622700000000,0,2,0
10622700000000,1,2,0
10622700000000,2,9,5
10622700000000,3,1,1
10622700000000,4,6,2
10622700000000,5,472,143
10622700000000,6,3,0
10622700000000,7,99,36
10622700000000,9,3,0
10622800000000,5,26,9
10622800000000,7,10,2
10623300000000,5,1,0
10623600000000,5,193,59
10623800000000,5,1,0
10624100000000,1,3,2
10624100000000,2,66,43
10624100000000,4,2,2
10624100000000,5,503,214
10624100000000,6,10,6
10624100000000,7,125,67
10624100000000,9,3,0
10624300000000,2,17,11
10624300000000,4,1,1
10624300000000,5,329,112
10624300000000,6,2,1
10624300000000,7,37,15
10625400000000,0,1,1
10625400000000,1,1,1
10625400000000,2,1,1
10625400000000,3,1,1
10625400000000,5,59,59
10625400000000,6,6,6
10625400000000,7,19,19
10625500000000,1,2,0
10625500000000,2,2,0
10625500000000,5,82,0
10625500000000,6,12,0
10625500000000,7,31,0
10738100000000,2,1,0
10738100000000,5,145,57
10738100000000,7,5,1
10739700000000,0,6,1
10739700000000,1,5,2
10739700000000,2,146,90
10739700000000,3,2,1
10739700000000,4,13,6
10739700000000,5,421,115
10739700000000,6,87,30
10739700000000,7,194,76
10739700000000,9,6,3
10740000000000,1,1,1
10740000000000,2,22,14
10740000000000,3,1,0
10740000000000,5,214,45
10740000000000,6,2,0
10740000000000,7,35,7
10751300000000,5,138,55
10752300000000,0,3,1
10752300000000,5,71,25
10752800000000,1,17,2
10752800000000,4,1,1
10752800000000,5,18,4
10752800000000,7,105,37
10754100000000,2,3,1
10754100000000,3,1,1
10754100000000,5,87,47
10754100000000,6,3,2
10754100000000,7,17,9
10756000000000,2,8,8
10756000000000,5,82,31
10756000000000,6,4,0
10756000000000,7,22,6
10767800000000,1,1,0
10767800000000,2,32,23
10767800000000,3,1,0
10767800000000,4,3,1
10767800000000,5,174,53
10767800000000,6,30,2
10767800000000,7,29,15
11101200000000,5,7,0
11101200000000,6,1,0
11101200000000,7,10,0
11101200000000,9,5,1
11626500000000,1,4,0
11626500000000,5,11,6
11626500000000,7,6,2
11626500000000,9,1,0
11626600000000,1,2,0
11626600000000,2,3,1
11626600000000,3,1,0
11626600000000,4,1,0
11626600000000,5,49,3
11626600000000,7,54,5
11754800000000,2,4,2
11754800000000,5,77,10
11754800000000,6,3,1
11754800000000,7,57,15
11765600000000,5,61,21
11765600000000,7,24,11
11765600000000,9,1,1
12101200000000,1,1,0
12101200000000,2,1,1
12101200000000,4,1,1
12101200000000,5,1,1
12101200000000,7,31,16
12101200000000,9,3,2
12626900000000,0,15,8
12626900000000,1,23,8
12626900000000,2,5,2
12626900000000,3,3,0
12626900000000,5,34,19
12626900000000,6,6,4
12626900000000,7,266,144
12626900000000,9,9,3
12628100000000,1,13,2
12628100000000,2,3,2
12628100000000,3,1,1
12628100000000,4,1,1
12628100000000,5,42,9
12628100000000,6,2,0
12628100000000,7,172,50
12629000000000,1,47,2
12629000000000,5,1,0
12629000000000,7,6,1
12629300000000,2,1,0
12629300000000,5,6,0
12629300000000,7,15,0
12630300000000,5,3,1
12630300000000,7,21,6
12630300000000,9,3,0
12630400000000,0,1,0
12630400000000,1,4,0
12630400000000,2,1,0
12630400000000,5,5,0
12630400000000,7,44,0
12753700000000,1,1,0
12753700000000,5,5,1
12753700000000,7,28,5
12753800000000,1,14,0
12753800000000,2,1,0
12753800000000,5,5,0
12753800000000,7,58,0
12753800000000,9,10,0
12755200000000,0,4,0
12755200000000,1,20,1
12755200000000,2,42,15
12755200000000,3,3,0
12755200000000,4,1,1
12755200000000,5,36,5
12755200000000,6,4,2
12755200000000,7,214,56
12755200000000,9,8,0
13101300000000,0,1,0
13101300000000,5,4,0
13101300000000,7,2,0
13630800000000,2,1,0
13630800000000,4,4,2
13630800000000,5,355,67
13630800000000,6,6,0
13630800000000,7,44,20
13630800000000,9,4,2
13631000000000,2,4,3
13631000000000,5,591,133
13631000000000,7,3,0
13631100000000,5,75,23
13631100000000,6,3,1
13631100000000,7,8,3
13631200000000,1,1,0
13631200000000,2,16,13
13631200000000,3,3,1
13631200000000,5,783,221
13631200000000,6,14,0
13631200000000,7,55,31
13631200000000,9,5,1
13631500000000,5,111,41
13631500000000,7,10,7
13631500000000,9,1,0
13631600000000,2,3,1
13631600000000,4,2,0
13631600000000,5,155,37
13631600000000,6,7,2
13631600000000,7,44,14
13631600000000,9,1,0
13632100000000,1,11,0
13632100000000,5,14,0
13632100000000,7,1,0
14101400000000,0,1,0
14101400000000,1,3,0
14101400000000,2,4,0
14101400000000,3,2,0
14101400000000,4,1,0
14101400000000,5,310,0
14101400000000,6,111,0
14101400000000,7,18,0
14632500000000,1,5,1
14632500000000,5,1,0
14632500000000,7,4,2
14632700000000,7,4,0
14632900000000,0,1,0
14632900000000,1,3,2
14632900000000,2,1,1
14632900000000,5,13,4
14632900000000,7,8,4
14633000000000,5,1,0
14633000000000,7,1,0
14766900000000,0,4,2
14766900000000,1,22,3
14766900000000,2,3,0
14766900000000,5,55,14
14766900000000,6,2,1
14766900000000,7,83,39
14766900000000,9,10,5
15101600000000,1,5,1
15101600000000,2,1,0
15101600000000,4,3,2
15101600000000,5,208,31
15101600000000,6,36,1
15101600000000,7,119,13
15101600000000,9,3,1
15634100000000,1,1,0
15634100000000,2,10,3
15634100000000,3,1,0
15634100000000,4,114,67
15634100000000,5,752,246
15634100000000,6,11,2
15634100000000,7,16,7
15635300000000,0,3,1
15635300000000,1,64,18
15635300000000,2,190,114
15635300000000,3,13,5
15635300000000,4,87,50
15635300000000,5,4716,1322
15635300000000,6,446,115
15635300000000,7,2044,809
15635300000000,9,134,55
15636300000000,0,1,0
15636300000000,2,2,0
15636300000000,3,1,0
15636300000000,5,23,0
15636300000000,6,4,0
15636300000000,7,60,1
15636800000000,2,1,0
15636800000000,4,1,0
15636800000000,5,76,10
15636800000000,6,33,1
15636800000000,7,43,7
15636800000000,9,9,1
15636900000000,2,2,2
15636900000000,3,1,1
