,CDS_CODE,Year,ETHNIC,GR_12,ENR_TOTAL,GRADS,UC_GRADS,Function_Attendance and Social Work Services                                                                                                                                                                                                                       ,Function_Centralized Data Processing                                                                                                                                                                                                                               ,Function_Food Services                                                                                                                                                                                                                                             ,Function_General Administration Cost Transfers                                                                                                                                                                                                                     ,Function_Guidance and Counseling Services                                                                                                                                                                                                                          ,Function_Health Services                                                                                                                                                                                                                                           ,Function_Instruction                                                                                                                                                                                                                                               ,"Function_Instructional Library, Media, and Technology                                                                                                                                                                                                              ",Function_Instructional Supervision and Administration                                                                                                                                                                                                              ,Function_Maintenance                                                                                                                                                                                                                                               ,Function_Not Applicable (For use with revenues and balance sheet transactions only)                                                                                                                                                                                ,Function_Operations                                                                                                                                                                                                                                                ,Function_Other,Function_Other General Administration                                                                                                                                                                                                                              ,Function_Other Pupil Services                                                                                                                                                                                                                                      ,Function_Plant Maintenance and Operations                                                                                                                                                                                                                          ,Function_Pupil Transportation                                                                                                                                                                                                                                      ,Function_School Administration                                                                                                                                                                                                                                     ,Function_Special Education:  Nonpublic Agencies/Schools (NPA/S)                                                                                                                                                                                                    ,Function_Special Education:  Other Specialized Instructional Services                                                                                                                                                                                              ,Function_Special Education: Resource Specialist Instruction                                                                                                                                                                                                        ,Function_Special Education: Separate Classes                                                                                                                                                                                                                       ,Function_Special Education: Supplemental Aids & Services in Regular Classrooms                                                                                                                                                                                     ,Amount_<500k,Amount_500k-1500k,Amount_1500k-3000k,Amount_3000k-10000k,Amount_>10000k
0,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
1,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
2,110017,1213,37,262,1654,221,81,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
3,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
4,110017,1213,37,262,1654,221,81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
5,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
6,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0
7,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
8,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
9,110017,1213,37,786,4962,663,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0
10,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1
11,110017,1213,37,524,3308,442,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
12,110017,1213,37,262,1654,221,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0
13,110017,1213,37,524,3308,442,162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0
